date,industrial_index,year,month
2023-06-01,70000.0,2023,6
2023-06-02,68350.0,2023,6
2023-06-05,62075.0,2023,6
2023-06-06,73750.0,2023,6
2023-06-07,70300.0,2023,6
2023-06-08,125.0,2023,6
2023-06-09,15550.0,2023,6
2023-06-12,64125.0,2023,6
2023-06-13,80700.0,2023,6
2023-06-14,89200.0,2023,6
2023-06-15,89400.0,2023,6
2023-06-16,82400.0,2023,6
2023-06-19,68075.0,2023,6
2023-06-20,81400.0,2023,6
2023-06-21,89150.0,2023,6
2023-06-22,96750.0,2023,6
2023-06-23,104000.0,2023,6
2023-06-26,93063.0,2023,6
2023-06-27,70411.0,2023,6
2023-06-28,89200.0,2023,6
2023-06-29,86400.0,2023,6
2023-06-30,88400.0,2023,6
2023-07-03,57102.0,2023,7
2023-07-04,81723.5,2023,7
2023-07-05,85323.5,2023,7
2023-07-06,75273.5,2023,7
2023-07-07,78959.5,2023,7
2023-07-10,72561.0,2023,7
2023-07-11,90723.5,2023,7
2023-07-12,89173.5,2023,7
2023-07-13,89773.5,2023,7
2023-07-14,85923.5,2023,7
2023-07-17,79501.0,2023,7
2023-07-18,75865.5,2023,7
2023-07-19,95773.5,2023,7
2023-07-20,92623.5,2023,7
2023-07-21,83973.5,2023,7
2023-07-24,82567.0,2023,7
2023-07-25,73895.5,2023,7
2023-07-26,76411.5,2023,7
2023-07-27,69909.5,2023,7
2023-07-28,64338.5,2023,7
2023-07-31,46797.0,2023,7
2023-08-01,56586.5,2023,8
2023-08-02,55365.5,2023,8
2023-08-03,52108.5,2023,8
2023-08-04,56679.0,2023,8
2023-08-07,51163.5,2023,8
2023-08-08,40961.5,2023,8
2023-08-09,47508.5,2023,8
2023-08-10,54222.5,2023,8
2023-08-11,54754.5,2023,8
2023-08-14,23402.5,2023,8
2023-08-15,696.5,2023,8
2023-08-16,84371.5,2023,8
2023-08-17,87959.5,2023,8
2023-08-18,89754.5,2023,8
2023-08-21,91850.5,2023,8
2023-08-22,99885.5,2023,8
2023-08-23,97689.5,2023,8
2023-08-24,97816.5,2023,8
2023-08-25,98751.5,2023,8
2023-08-28,67367.5,2023,8
2023-08-29,74618.5,2023,8
2023-08-30,82194.5,2023,8
2023-08-31,83587.5,2023,8
2023-09-01,61465.0,2023,9
2023-09-04,61620.0,2023,9
2023-09-05,69905.0,2023,9
2023-09-06,65679.0,2023,9
2023-09-07,65634.0,2023,9
2023-09-08,68965.0,2023,9
2023-09-11,66530.0,2023,9
2023-09-12,73033.0,2023,9
2023-09-13,79403.0,2023,9
2023-09-14,76599.0,2023,9
2023-09-15,57885.0,2023,9
2023-09-18,72080.0,2023,9
2023-09-19,73194.0,2023,9
2023-09-20,67235.0,2023,9
2023-09-21,65353.0,2023,9
2023-09-22,76126.0,2023,9
2023-09-25,61808.0,2023,9
2023-09-26,73792.0,2023,9
2023-09-27,74146.0,2023,9
2023-09-28,71395.0,2023,9
2023-09-29,73701.0,2023,9
2023-10-02,76739.0,2023,10
2023-10-03,70143.0,2023,10
2023-10-04,62787.0,2023,10
2023-10-05,70891.0,2023,10
2023-10-06,77143.0,2023,10
2023-10-09,80999.0,2023,10
2023-10-10,87598.0,2023,10
2023-10-11,75919.0,2023,10
2023-10-12,82375.0,2023,10
2023-10-13,77121.0,2023,10
2023-10-16,77195.0,2023,10
2023-10-17,89983.0,2023,10
2023-10-18,97622.0,2023,10
2023-10-19,98838.0,2023,10
2023-10-20,98116.0,2023,10
2023-10-23,88590.0,2023,10
2023-10-24,96059.0,2023,10
2023-10-25,120758.0,2023,10
2023-10-26,118550.0,2023,10
2023-10-27,112351.0,2023,10
2023-10-30,83247.0,2023,10
2023-10-31,97495.0,2023,10
2023-11-01,0.0,2023,11
2023-11-02,46848.0,2023,11
2023-11-03,60427.5,2023,11
2023-11-06,59906.0,2023,11
2023-11-07,69283.0,2023,11
2023-11-08,73995.0,2023,11
2023-11-09,69556.0,2023,11
2023-11-10,77797.0,2023,11
2023-11-13,74751.0,2023,11
2023-11-14,76252.0,2023,11
2023-11-15,82829.0,2023,11
2023-11-16,94585.0,2023,11
2023-11-17,99168.0,2023,11
2023-11-20,96054.5,2023,11
2023-11-21,104428.0,2023,11
2023-11-22,110557.0,2023,11
2023-11-23,101109.0,2023,11
2023-11-24,106624.0,2023,11
2023-11-27,119208.0,2023,11
2023-11-28,132250.0,2023,11
2023-11-29,134484.0,2023,11
2023-11-30,144733.0,2023,11
2023-12-01,125497.5,2023,12
2023-12-04,113526.5,2023,12
2023-12-05,120662.5,2023,12
2023-12-06,123928.5,2023,12
2023-12-07,122151.5,2023,12
2023-12-08,116166.5,2023,12
2023-12-11,86565.5,2023,12
2023-12-12,98473.5,2023,12
2023-12-13,97718.5,2023,12
2023-12-14,101390.5,2023,12
2023-12-15,94225.5,2023,12
2023-12-18,72763.5,2023,12
2023-12-19,75126.5,2023,12
2023-12-20,83924.5,2023,12
2023-12-21,80512.5,2023,12
2023-12-22,62283.5,2023,12
2023-12-25,0.0,2023,12
2023-12-26,0.0,2023,12
2023-12-27,3698.0,2023,12
2023-12-28,8396.0,2023,12
2023-12-29,4666.0,2023,12
2024-01-01,0.0,2024,1
2024-01-02,33636.0,2024,1
2024-01-03,53229.5,2024,1
2024-01-04,44770.5,2024,1
2024-01-05,50470.5,2024,1
2024-01-08,109146.0,2024,1
2024-01-09,123841.0,2024,1
2024-01-10,128344.0,2024,1
2024-01-11,127691.0,2024,1
2024-01-12,124275.0,2024,1
2024-01-15,88187.0,2024,1
2024-01-16,116867.0,2024,1
2024-01-17,113550.0,2024,1
2024-01-18,116377.0,2024,1
2024-01-19,106882.0,2024,1
2024-01-22,84016.5,2024,1
2024-01-23,87529.0,2024,1
2024-01-24,83753.0,2024,1
2024-01-25,86324.0,2024,1
2024-01-26,88606.0,2024,1
2024-01-29,61235.5,2024,1
2024-01-30,78862.0,2024,1
2024-01-31,74399.0,2024,1
2024-02-01,94062.5,2024,2
2024-02-02,103795.5,2024,2
2024-02-05,93674.5,2024,2
2024-02-06,91004.5,2024,2
2024-02-07,99854.5,2024,2
2024-02-08,117981.5,2024,2
2024-02-09,115695.5,2024,2
2024-02-12,80863.0,2024,2
2024-02-13,81247.5,2024,2
2024-02-14,78130.5,2024,2
2024-02-15,82948.5,2024,2
2024-02-16,65084.5,2024,2
